date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:40	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:38%20GMT	https://www.flowparagliders.com.au/xcracer/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/xcracer/index.html	(from https://www.flowparagliders.com.au/)
23:21:40	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:39%20GMT	https://www.flowparagliders.com.au/spectra/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/spectra/index.html	(from https://www.flowparagliders.com.au/)
23:21:40	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:39%20GMT	https://www.flowparagliders.com.au/yoti2/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/yoti2/index.html	(from https://www.flowparagliders.com.au/)
23:21:41	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:40%20GMT	https://www.flowparagliders.com.au/future-power/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/future-power/index.html	(from https://www.flowparagliders.com.au/)
23:21:41	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:40%20GMT	https://www.flowparagliders.com.au/cosmos-power-2/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/cosmos-power-2/index.html	(from https://www.flowparagliders.com.au/)
23:21:41	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:40%20GMT	https://www.flowparagliders.com.au/yoti2-lite/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/yoti2-lite/index.html	(from https://www.flowparagliders.com.au/)
23:21:41	4814/4814	---M--	200	added ('OK')	image/png	etag:%226981513a-12ce%22	https://flowparagliders.com.au/wp-content/uploads/2021/06/fusion-light-logo-white-300x57.png	C:/My%20Web%20Sitesf/flow/flowparagliders.com.au/wp-content/uploads/2021/06/fusion-light-logo-white-300x57.png	(from https://www.flowparagliders.com.au/)
23:21:42	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:41%20GMT	https://www.flowparagliders.com.au/rpm2/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/rpm2/index.html	(from https://www.flowparagliders.com.au/)
23:21:42	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:41%20GMT	https://www.flowparagliders.com.au/cosmos-power/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/cosmos-power/index.html	(from https://www.flowparagliders.com.au/)
23:21:42	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:41%20GMT	https://www.flowparagliders.com.au/rpm/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/rpm/index.html	(from https://www.flowparagliders.com.au/)
